"","source","target","mor"
"667","DLX4","FN1",1
"668","ZFPM1","MBP",1
"669","FOS","FN1",1
"670","JUN","FN1",1
"671","MYC","FN1",-1
"672","ZBTB12","FN1",1
"673","PPARG","FABP4",1
"674","PDX1","PRKCG",1
"675","PDX1","PSMA5",1
"676","STAT5A","BCL2L1",1
"677","SP1","LEP",1
"678","STAT5A","OSM",1
"679","EGR1","MMP14",1
"680","ESR1","SPP1",1
"681","ESR2","SPP1",1
"682","MYRF","COL5A2",1
"683","PPARG","CD36",1
"684","POU2F2","TGFA",1
"685","PDX1","GFAP",1
"686","STAT1","PTGS2",1
"687","STAT5A","PTGS2",1
"688","SSRP1","HES1",1
"689","SSRP1","HES5",1
"690","SSRP1","NOTCH3",1
"691","CEBPB","IL6",1
"692","TP53","PVR",1
"693","PAX5","CD79A",1
"694","TP53","ACHE",1
"695","PAX5","RAG2",1
"696","PAX5","EBF1",1
"697","EBF1","PAX5",1
"698","TP53","CREBBP",1
"699","CREBBP","TP53",1
"700","ETS1","PARP1",1
"701","TP53","AQP1",1
"702","TP73","AQP1",1
"703","TP73","CREBBP",1
"704","TP73","GADD45A",1
"705","POU2F1","CXCL8",-1
"706","POU2F1","HLA-DRA",-1
"707","ETS1","MGAT5",1
"708","JUN","MGAT5",1
"709","NFYA","CDK1",-1
"710","CEBPG","CD14",1
"711","CEBPB","PRG2",1
"712","GATA1","PRG2",1
"713","GATA1","MBP",1
"714","CEBPG","MBP",1
"715","CEBPB","MBP",1
"716","PDX1","GCG",1
"717","PDX1","PIK3C3",1
"718","CEBPB","HSP90AA1",1
"719","STAT3","HSP90AA1",1
"720","STAT1","HSP90AA1",-1
"721","STAT1","HSPA4",1
"722","HSF1","HSP90AA1",1
"723","HSF1","HSPA4",1
"724","STAT3","HSPA4",1
"725","TFAM","SLC25A5",1
"726","APEX1","APEX1",1
"727","CEBPB","HP",1
"728","CEBPB","MAPK1",1
"729","STAT3","HP",1
"730","TEAD2","TP53",1
"731","HIF1A","TFRC",1
"732","MYC","HSPA4",1
"733","SP1","PSEN1",1
"734","NR0B1","NR0B1",1
"735","NR0B1","NR5A1",-1
"736","NR5A1","NR0B1",1
"737","ESR1","TNFRSF11A",1
"738","SP1","SLC25A5",1
"739","SP1","TNFRSF11A",1
"740","ESR1","E2F1",1
"741","SP1","E2F1",1
"742","SP3","CYP11A1",1
"743","TFAP2A","CYP11A1",1
"744","SP1","SPI1",1
"745","SPI1","SP1",1
"746","SPI1","SP3",1
"747","SP3","SPI1",1
"748","SPI1","CYP11A1",1
"749","STAT3","HSP90AB1",1
"750","ZNF281","ODC1",1
"751","ZNF148","ODC1",1
"752","ZNF148","GAST",1
"753","MAZ","PDIK1L",1
"754","TP53","KRAS",1
"755","SP1","PLAT",1
"756","SP3","PLAT",1
"757","SPI1","CSF2RB",1
"758","IRF4","IL1B",1
"759","IRF8","IL1B",1
"760","NCOA2","MSH6",1
"761","SPI1","IL1B",1
"762","IRF2","IFNG",1
"763","ZBED1","ZBED1",1
"764","NCOA2","PSMD4",1
"765","NCOA2","SRC",1
"766","NR0B2","IL2",1
"767","PGR","IGFBP1",1
"768","SP1","NFKBIA",1
"769","AR","DNM1L",1
"770","AR","SRC",1
"771","NCOA1","MSH6",1
"772","NCOA1","PSMD4",1
"773","NCOA2","DNM1L",1
"774","SP1","RECK",1
"775","RUNX1","BLK",1
"776","PAX5","BLK",1
"777","SREBF2","LDLR",1
"778","FOXA1","AFP",1
"779","NR4A2","TH",1
"780","SPI1","TH",1
"781","SP1","MBP",1
"782","NR0B2","SYK",1
"783","NRG1","PIK3R1",1
"784","NR5A1","CYP11A1",1
"785","CEBPB","CXCL8",1
"786","HNF1A","UGT1A1",1
"787","MGA","MGA",1
"788","NFKB1","CCND1",1
"789","RELA","CCND1",1
"790","CEBPD","IL1B",1
"791","CEBPB","IL1B",1
"792","ESR2","FSHB",1
"793","TP53","BAG1",-1
"794","LHX3","ESR1",1
"795","RELA","PLAU",1
"796","MYC","MYC",-1
"797","KLF1","HBB",1
"798","REL","CCL2",1
"799","RELA","CCL2",1
"800","TP53","MDM4",1
"801","TP73","MDM4",1
"802","WT1","MYCN",-1
"803","AHR","CTSD",1
"804","ARNT","CTSD",1
"805","STAT5A","STAT5A",1
"806","CREB1","JUN",-1
"807","SP1","HMGA2",1
"808","SP3","HMGA2",1
"809","CEBPG","PCK1",1
"810","DDIT3","HSPA4",1
"811","FOS","HSPA5",1
"812","PGR","IGFBP5",1
"813","CEBPG","STAR",1
"814","NRG1","EGF",1
"815","PPARA","EDN1",-1
"816","ATF2","EP300",1
"817","GATA4","ANKRD1",1
"818","NKX2-5","ANKRD1",1
"819","NFATC2","XCL1",1
"820","RELA","CXCL8",1
"821","NR5A1","SCARB1",1
"822","NFIC","AR",1
"823","TP53","IL2",-1
"824","FOS","CCND2",1
"825","CTCF","LYZ",1
"826","TFAP2A","IL3",1
"827","YY1","IL3",1
"828","PAX3","TYRP1",1
"829","PAX3","FN1",1
"830","MITF","PAX3",1
"831","PAX3","MITF",1
"832","RELA","TNF",1
"833","NFKB1","TNF",1
"834","STAT5A","IL7R",1
"835","CEBPB","CETP",1
"836","CEBPG","CETP",1
"837","WT1","AREG",1
"838","DBP","CYP2A13",1
"839","DBP","IGKV2D-26",1
"840","NFIC","CYP1A1",-1
"841","PITX2","PRL",1
"842","BCL6","IL4",1
"843","BCL6","STAT6",1
"844","STAT6","BCL6",1
"845","BCL6","IGHE",1
"846","RB1","E2F1",-1
"847","E2F1","RB1",1
"848","SP1","LHCGR",1
"849","SP3","LHCGR",1
"850","HNF1B","INS",1
"851","HNF4A","INS",1
"852","TFCP2","HBA1",1
"853","REST","GRIA2",-1
"854","ESRRA","CYP19A1",1
"855","HOXD3","PLAU",1
"856","SP1","PDLIM7",1
"857","SP3","PDLIM7",1
"858","IRF9","IFNL3",1
"859","TFE3","SLC34A1",1
"860","NR2F2","PKLR",-1
"861","ZNF236","PKLR",1
"862","USF1","PKLR",1
"863","JUNB","IL6",-1
"864","STAT3","JUNB",1
"865","SP1","CCND1",1
"866","TFAP2A","MXI1",1
"867","ESR1","TFAP2A",1
"868","TFAP2A","ESR1",1
"869","ESR1","TFAP2C",1
"870","TFAP2C","ESR1",1
"871","IRF1","SLPI",-1
"872","CEBPA","PRL",1
"873","DDIT3","PRL",1
"874","PAX8","TNF",1
"875","PAX8","TG",1
"876","TTF1","TG",1
"877","NKX2-1","TG",1
"878","NKX2-1","TNF",1
"879","TTF1","TNF",1
"880","WT1","IGF1R",-1
"881","PGR","PRL",-1
"882","PDX1","PDX1",1
"883","ESR1","CCND1",1
"884","PBX1","PREB",1
"885","TCF3","PREB",1
"886","PBX1","WNT16",1
"887","TCF3","WNT16",1
"888","MYC","ACHE",1
"889","MYC","KAT2B",1
"890","SP4","SP4",1
"891","SP1","ITGAV",1
"892","SP3","ITGAV",1
"893","NR0B1","ABCD2",1
"894","NR0B1","ABCD3",1
"895","E2F1","CCNE1",1
"896","E2F1","CCND1",1
"897","TP53","YY1",1
"898","ELF3","KLK3",1
"899","YY1","TP53",1
"900","IRF1","CIITA",1
"901","CIITA","IRF1",1
"902","CDX2","GCG",1
"903","POU3F4","GCG",1
"904","ELF5","KLK3",1
"905","SP1","MMP2",1
"906","SP3","MMP2",1
"907","TFAP2A","MMP2",1
"908","CEBPG","MMP2",1
"909","ETV4","MMP2",1
"910","ELF3","FOLH1",1
"911","ELF5","FOLH1",1
"912","ATF2","CDKN1A",1
"913","JUNB","CDKN1A",1
"914","JUND","CDKN1A",1
"915","JUN","PDGFB",1
"916","MYC","CCND2",1
